week,AZ,CO,GA,MI,NC,WA
2021-01-03,1.9096772137177471,0.6945968698686656,0.5085979903032968,1.1915660752927573,0.7246318774716144,0.8404582966563025
2021-01-10,2.3767925034041024,0.4167581219211994,0.9606850927951162,0.720947541353601,0.8009089172054685,0.39396482655764176
2021-01-17,1.813506418782321,0.31256859144089955,1.0171959806065936,0.7509870222433344,0.7723050273052733,0.4990221136396796
2021-01-24,1.813506418782321,0.3299335131876162,1.0360329432104194,0.49064485453231177,0.9534629966731769,0.3283040221313681
2021-01-31,1.7860290488007706,0.2604738262007496,0.979522055398942,0.4706185339391562,0.867651326972591,0.3020397003608587
2021-02-07,1.8409837887638714,0.243108904454033,0.8288263545683355,0.3805000912699561,0.7150972475048827,0.4202291483281512
2021-02-14,1.044140059298912,0.19101413921388305,0.8665002797759871,0.32042112949048934,0.6006816879041014,0.27577537859034923
2021-02-21,0.9891853193358114,0.15628429572044977,0.5651088781147742,0.240315847117867,0.42905834850292957,0.2495110568198398
2021-02-28,0.5632860846217815,0.10418953048029984,0.6969676163415549,0.22028952652471143,0.3909198286360025,0.17071809150831144
2021-03-07,0.5358087146402312,0.13891937397373313,0.39557621468034193,0.16021056474524467,0.21929648923483067,0.1575859306230567
2021-03-14,0.28851238480627833,0.06945968698686657,0.3579022894726903,0.19025004563497805,0.21929648923483067,0.09192512619678307
2021-03-21,0.4121605497232548,0.06945968698686657,0.43325013988799355,0.20026320593155583,0.28603889900195306,0.07879296531152835
2021-03-28,0.19234158987085223,0.06945968698686657,3.4471641565001225,0.3003948088973338,0.14301944950097653,0.1050572870820378
2021-04-04,0.16486421988930192,0.05209476524014992,0.34848380817077745,0.430565892752845,0.1525540794677083,0.07879296531152835
2021-04-11,0.12364816491697643,0.0868246087335832,0.34848380817077745,0.5306974957186229,0.19069259933463537,0.1050572870820378
2021-04-18,0.2335576448431777,0.15628429572044977,0.2825544390573871,0.6808949001672898,0.1811579693679036,0.1050572870820378
