week,AZ,CO,GA,MI,NC,WA
2021-07-04,7.762357019787965,6.546575498512174,3.484838081707774,1.9425530975360916,4.185702555395246,4.911428171085267
2021-07-11,12.337339121716093,9.706991256414602,5.095398384334881,2.393145310882092,7.417942114117316,9.271305584989836
2021-07-18,15.730794314437558,8.57827134287802,9.597432446649249,4.12542204219005,12.328276546984176,11.582565900794668
2021-07-25,21.665906230452425,14.360790284534662,18.460223351749292,6.758883200190009,21.99639133325019,12.843253345779122
2021-08-01,30.609790159447055,13.718288179906146,28.22718846183297,10.633976234965616,31.407071110414446,28.956414751986667
2021-08-08,35.77553571597851,22.105545383570284,37.57974039463249,14.268753422623353,49.26543303810305,35.062869563630116
2021-08-15,34.30549642196557,23.355819749333882,48.175531859284504,17.112490946851445,51.2009629213496,39.7379188387808
2021-08-22,49.830210461541505,27.749144951253193,59.54363879069338,20.02632059315558,60.35420768941209,42.180500763438175
2021-08-29,43.33181246090485,30.301788448020538,61.96418848528499,23.130400285094698,65.59825417111456,45.97569525927679
2021-09-05,36.393776540563394,31.117939770116223,50.69968484819716,24.522229566319012,56.359197733351486,41.72087513245426
2021-09-12,37.53408739479774,34.122071232298204,39.61413235584567,30.52011258396911,70.18441118511255,43.17854499071753
2021-09-19,33.89333587224232,30.371248135007406,33.09654329492194,32.85317893307173,52.326049257423946,36.99329721376256
2021-09-26,36.02283204581247,31.326318831076822,23.90410554425495,38.12010124907165,42.0191142633869,38.398438428484816
2021-10-03,33.04153740281426,37.07410792924003,19.07242463637363,42.095325886813036,34.74419159877056,32.08186904267729
2021-10-10,30.266323034677676,33.54902881465655,13.261221673093369,43.67740521367233,29.738510866236386,32.06873688179204
2021-10-17,30.82960911929946,30.735911491688455,8.872209386401956,38.86107511101841,22.43498431171985,29.140265004380236
2021-10-24,35.36337516625526,82.65702751437121,8.608491909948393,39.82233849948988,19.288556422698367,27.984634846477817
2021-10-31,38.605704824078195,51.26124899630753,7.581877448039887,49.124564415010646,16.533048362312886,23.00754587096628
2021-11-07,47.96174930279608,53.18875531019307,6.9225837569059845,52.91955216741363,16.54258299227962,23.953061454704617
2021-11-14,50.682008930969566,54.94261240661145,6.894328313000245,87.65520523624198,17.810688777854942,21.8125192304081
2021-11-21,50.585838136034134,37.02201316399988,4.624474319239235,55.302684317999145,12.414088216684762,11.306790522204318
2021-11-28,45.68112759432741,44.85359287176909,9.823475997895159,99.82119499658401,27.993673582324472,23.795475524081564
2021-12-05,52.976369324429015,31.986185857452053,10.595791464652017,71.62413560142095,29.576422156801947,17.964796091028465
2021-12-12,42.02663738678121,36.136402154917334,13.054015084451285,66.19700272067578,31.044755171678638,18.6214041352912
2021-12-19,40.47416598282362,72.18597970110108,43.60756842785674,44.57858964036433,24.933057363003574,25.108691612607036
2021-12-26,59.41981258510256,140.3432975569639,102.25645149486839,91.23991662241684,81.0348200872533,66.26488382699534
2022-01-02,124.89838525113697,238.22936144320562,93.64795958492,205.4199834842934,198.52053053732214,153.22605320915213
2022-01-09,231.71666105441383,212.2514385101175,180.1472918616881,181.22818820776146,253.81184971439967,206.88406258630295
2022-01-16,272.341952572136,171.99954990122833,112.20236774968842,196.95886303368516,226.55234263951354,205.95167916344985
2022-01-23,250.1539763120341,107.78406928187019,121.8939850093568,155.52440572644625,281.6815731071566,266.2020333049985
2022-01-30,145.24537772247498,58.953909330102995,54.04324571037624,83.50975687345878,131.76858614023305,135.81280787530437
