countyFIPS,County Name,No Diploma,High School,Associate's,Bachelor's,Graduate,Foreign Born
0500000US47147,"Robertson County, Tennessee",4767,17948,2789,8049,2488,3033
0500000US47149,"Rutherford County, Tennessee",10255,56900,18403,42688,21396,31164
0500000US47155,"Sevier County, Tennessee",7165,26802,4873,9733,3646,5286
0500000US47157,"Shelby County, Tennessee",48731,174316,36938,117445,79164,59399
0500000US47163,"Sullivan County, Tennessee",8530,38831,9230,18928,11732,3148
0500000US47165,"Sumner County, Tennessee",8043,40382,10822,27365,12891,11132
0500000US47179,"Washington County, Tennessee",6710,27412,7666,15989,12267,4336
0500000US47187,"Williamson County, Tennessee",5131,21074,8981,60684,35638,21334
0500000US47189,"Wilson County, Tennessee",4305,29760,7954,22955,12286,8159
0500000US48005,"Angelina County, Texas",4075,18586,3506,6020,4589,6421
0500000US48021,"Bastrop County, Texas",4815,20132,2749,6051,3303,12625
0500000US48027,"Bell County, Texas",14617,57293,25798,34276,22050,30008
0500000US48029,"Bexar County, Texas",102423,330817,107519,230415,133132,260040
0500000US48037,"Bowie County, Texas",5385,20895,4233,7610,4378,3074
0500000US48039,"Brazoria County, Texas",15925,67006,18764,49200,23129,45539
0500000US48041,"Brazos County, Texas",8359,27159,5789,29577,23027,28804
0500000US48061,"Cameron County, Texas",33983,65981,18532,29642,13507,97854
0500000US48085,"Collin County, Texas",17527,110941,51079,222276,137266,227971
0500000US48091,"Comal County, Texas",4526,25645,10353,28328,15194,8666
0500000US48099,"Coryell County, Texas",4260,14186,5361,5585,2736,5533
0500000US48113,"Dallas County, Texas",149769,402635,96064,344251,207882,675895
0500000US48121,"Denton County, Texas",28746,102928,42602,180472,91444,143440
0500000US48135,"Ector County, Texas",13269,30270,7551,10038,5199,27128
0500000US48139,"Ellis County, Texas",8776,33064,10010,21115,9972,14192
0500000US48141,"El Paso County, Texas",45551,132635,49954,85417,35829,186537
0500000US48157,"Fort Bend County, Texas",21592,91850,40725,146138,95679,230738
0500000US48167,"Galveston County, Texas",12588,60883,21041,45784,25038,37851
0500000US48181,"Grayson County, Texas",5032,28562,9485,13292,6667,9430
0500000US48183,"Gregg County, Texas",6948,22677,8365,12177,5805,12053
0500000US48187,"Guadalupe County, Texas",8794,32505,11906,21639,10937,11634
